runid	clusterid	annote	Methanothermococcus_archaeon_SAG_AD_155_C09	Methanothermococcus_archaeon_SAG_AD_155_K20	Methanothermococcus_archaeon_SAG_AD_155_M21	Methanothermococcus_archaeon_SAG_AD_155_N22	Methanothermococcus_archaeon_SAG_AD_155_E23
all_I_2.0_c_0.4_m_maxbit	51	hypothetical protein_ga0150972_114363	fig|155862.1.peg.1283;fig|155862.1.peg.365	fig|155862.3.peg.105	NONE	fig|155862.5.peg.314	fig|155862.2.peg.544
all_I_2.0_c_0.4_m_maxbit	454	 acetylornithine aminotransferase apoenzyme_ga0150971_103841	fig|155862.1.peg.409	NONE	fig|155862.4.peg.285	NONE	fig|155862.2.peg.465
all_I_2.0_c_0.4_m_maxbit	1360	eplicative dna helicase mcm_ga0150971_111623	fig|155862.1.peg.1209	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	765	 3-dehydroquinate synthase ii_ga0150971_10522	fig|155862.1.peg.561	NONE	fig|155862.4.peg.687	NONE	fig|155862.2.peg.328
all_I_2.0_c_0.4_m_maxbit	128	gmp synthase (glutamine-hydrolysing)_ga0150972_11496	fig|155862.1.peg.708	fig|155862.3.peg.27	NONE	fig|155862.5.peg.232	fig|155862.2.peg.588
all_I_2.0_c_0.4_m_maxbit	1623	hypothetical protein_ga0150975_11907	NONE	NONE	NONE	fig|155862.5.peg.177	NONE
all_I_2.0_c_0.4_m_maxbit	1050	hypothetical protein_ga0150973_1049614	NONE	fig|155862.3.peg.54;fig|155862.3.peg.35	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1441	hypothetical protein_ga0150971_11282	fig|155862.1.peg.1322	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	842	ative methanogenesis marker 13 metalloprotein_ga0150974_12095	fig|155862.1.peg.838	NONE	fig|155862.4.peg.340	NONE	fig|155862.2.peg.365
all_I_2.0_c_0.4_m_maxbit	273	ligosaccharide repeat unit polymerase_ga0150975_12142	fig|155862.1.peg.320	NONE	fig|155862.4.peg.33	fig|155862.5.peg.183	fig|155862.2.peg.1175
all_I_2.0_c_0.4_m_maxbit	1700	balamin biosynthesis protein cbid_ga0150972_12092	NONE	NONE	NONE	NONE	fig|155862.2.peg.898
all_I_2.0_c_0.4_m_maxbit	1131	hypothetical protein_ga0150974_101750	fig|155862.1.peg.540	NONE	fig|155862.4.peg.58	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	532	large subunit ribosomal protein l39e_ga0150971_112130	fig|155862.1.peg.1248	NONE	fig|155862.4.peg.282	NONE	fig|155862.2.peg.431
all_I_2.0_c_0.4_m_maxbit	987	 membrane-bound hydrogenase subunit ehaa_ga0150971_11212	fig|155862.1.peg.1220	NONE	NONE	NONE	fig|155862.2.peg.396
all_I_2.0_c_0.4_m_maxbit	366	geranylgeranylglycerol-phosphate geranylgeranyltransferase_ga0150975_188210	fig|155862.1.peg.778	NONE	fig|155862.4.peg.913	fig|155862.5.peg.811	fig|155862.2.peg.140
all_I_2.0_c_0.4_m_maxbit	1272	hypothetical protein_ga0150972_116647	NONE	NONE	NONE	NONE	fig|155862.2.peg.708
all_I_2.0_c_0.4_m_maxbit	613	rna(ile)-lysidine synthase tils/mesj_ga0150971_113312	fig|155862.1.peg.1384	NONE	fig|155862.4.peg.172	NONE	fig|155862.2.peg.977
all_I_2.0_c_0.4_m_maxbit	40	molybdate transport system permease protein_ga0150973_108352	fig|155862.1.peg.627	fig|155862.3.peg.119;fig|155862.3.peg.96;fig|155862.3.peg.41	fig|155862.4.peg.586	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	511	helix-turn-helix_ga0150972_109589	fig|155862.1.peg.1219	NONE	fig|155862.4.peg.404	NONE	fig|155862.2.peg.397
all_I_2.0_c_0.4_m_maxbit	1353	tetratricopeptide (tpr) repea_ga0150975_18857	NONE	NONE	NONE	fig|155862.5.peg.832	NONE
all_I_2.0_c_0.4_m_maxbit	754	hypothetical protein_ga0150972_124920	fig|155862.1.peg.522	NONE	NONE	fig|155862.5.peg.533	fig|155862.2.peg.1103
all_I_2.0_c_0.4_m_maxbit	185	 phosphoglycerate mutase_ga0150974_15591	fig|155862.1.peg.1288	NONE	fig|155862.4.peg.825	fig|155862.5.peg.268	fig|155862.2.peg.221
all_I_2.0_c_0.4_m_maxbit	1612	met-10+ like-protein_ga0150972_11841	NONE	NONE	NONE	NONE	fig|155862.2.peg.730
all_I_2.0_c_0.4_m_maxbit	1043	hypothetical protein_ga0150971_101815	fig|155862.1.peg.171	NONE	NONE	NONE	fig|155862.2.peg.1117
all_I_2.0_c_0.4_m_maxbit	1446	hypothetical protein_ga0150971_11291	fig|155862.1.peg.1328	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	835	hypothetical protein_ga0150971_10742	fig|155862.1.peg.798	NONE	NONE	fig|155862.5.peg.549	fig|155862.2.peg.639
all_I_2.0_c_0.4_m_maxbit	278	multimeric flavodoxin wrba_ga0150974_14523	fig|155862.1.peg.33	NONE	fig|155862.4.peg.712	fig|155862.5.peg.234	fig|155862.2.peg.590
all_I_2.0_c_0.4_m_maxbit	1757	sugar-specific transcriptional regulator trmb_ga0150972_10262	NONE	NONE	NONE	NONE	fig|155862.2.peg.9
all_I_2.0_c_0.4_m_maxbit	1120	 shikimate kinase_ga0150975_14274	fig|155862.1.peg.455	NONE	NONE	fig|155862.5.peg.419	NONE
all_I_2.0_c_0.4_m_maxbit	525	 membrane-bound hydrogenase subunit eham_ga0150971_112115	fig|155862.1.peg.1233	NONE	fig|155862.4.peg.391	NONE	fig|155862.2.peg.384
all_I_2.0_c_0.4_m_maxbit	976	protein of unknown function (duf515)_ga0150974_10439	NONE	NONE	fig|155862.4.peg.633;fig|155862.4.peg.141	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	359	uncharacterized membrane protein, fun14 family_ga0150974_160415	fig|155862.1.peg.760	NONE	fig|155862.4.peg.882	fig|155862.5.peg.633	fig|155862.2.peg.698
all_I_2.0_c_0.4_m_maxbit	1834	hypothetical protein_ga0150975_18115	NONE	NONE	NONE	fig|155862.5.peg.696	NONE
all_I_2.0_c_0.4_m_maxbit	1265	hemotaxis protein ched_ga0150975_18242	NONE	NONE	NONE	fig|155862.5.peg.702;fig|155862.5.peg.81	NONE
all_I_2.0_c_0.4_m_maxbit	666	ubid family decarboxylase_ga0150975_132747	fig|155862.1.peg.240	NONE	NONE	fig|155862.5.peg.270	fig|155862.2.peg.223
all_I_2.0_c_0.4_m_maxbit	33	 formylmethanofuran dehydrogenase, subunit h_ga0150971_102313	fig|155862.1.peg.245	NONE	fig|155862.4.peg.564	fig|155862.5.peg.713;fig|155862.5.peg.92	fig|155862.2.peg.421
all_I_2.0_c_0.4_m_maxbit	500	chromosome partitioning atpase, mrp family, contains fe-s cluste_ga0150971_10181	fig|155862.1.peg.157	NONE	NONE	fig|155862.5.peg.259	fig|155862.2.peg.33
all_I_2.0_c_0.4_m_maxbit	1358	hypothetical protein_ga0150971_11072	fig|155862.1.peg.1129	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	747	keops complex subunit pcc1_ga0150971_10438	fig|155862.1.peg.509	NONE	fig|155862.4.peg.843	NONE	fig|155862.2.peg.821
all_I_2.0_c_0.4_m_maxbit	190	methyl coenzyme m reductase system, component a2_ga0150971_10864	fig|155862.1.peg.889	NONE	fig|155862.4.peg.433	fig|155862.5.peg.747	fig|155862.2.peg.352
all_I_2.0_c_0.4_m_maxbit	1605	hypothetical protein_ga0150971_104319	fig|155862.1.peg.520	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1032	hypothetical protein_ga0150971_11332	fig|155862.1.peg.1374	NONE	fig|155862.4.peg.832	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1503	 phospholactate guanylyltransferase_ga0150971_10198	fig|155862.1.peg.202	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	888	 heat shock protein. metallo peptidase. merops family m48b_ga0150974_14585	NONE	fig|155862.3.peg.79	fig|155862.4.peg.728	NONE	fig|155862.2.peg.1095
all_I_2.0_c_0.4_m_maxbit	271	ative membrane protein_ga0150971_10317	fig|155862.1.peg.319	NONE	fig|155862.4.peg.34	fig|155862.5.peg.454	fig|155862.2.peg.1176
all_I_2.0_c_0.4_m_maxbit	1746	hypothetical protein_ga0150972_11613	NONE	NONE	NONE	NONE	fig|155862.2.peg.660
all_I_2.0_c_0.4_m_maxbit	1177	hypothetical protein_ga0150971_10747	fig|155862.1.peg.803	NONE	NONE	NONE	fig|155862.2.peg.205
all_I_2.0_c_0.4_m_maxbit	514	 membrane-bound hydrogenase subunit ehac_ga0150971_11214	fig|155862.1.peg.1222	NONE	fig|155862.4.peg.401	NONE	fig|155862.2.peg.394
all_I_2.0_c_0.4_m_maxbit	969	 arsenite efflux atp-binding protein arsa_ga0150971_111218	fig|155862.1.peg.1169	NONE	NONE	NONE	fig|155862.2.peg.949
all_I_2.0_c_0.4_m_maxbit	412	hypothetical protein_ga0150974_14456	fig|155862.1.peg.1009	NONE	fig|155862.4.peg.707	NONE	fig|155862.2.peg.709
all_I_2.0_c_0.4_m_maxbit	1827	hypothetical protein_ga0150975_15572	NONE	NONE	NONE	fig|155862.5.peg.460	NONE
all_I_2.0_c_0.4_m_maxbit	1270	peptidase family s49_ga0150972_116645	NONE	NONE	NONE	NONE	fig|155862.2.peg.706
all_I_2.0_c_0.4_m_maxbit	659	 ssu ribosomal protein s9p_ga0150972_11866	fig|155862.1.peg.224	NONE	fig|155862.4.peg.615	NONE	fig|155862.2.peg.738
all_I_2.0_c_0.4_m_maxbit	38	 phosphate abc transporter membrane protein 1, phot family_ga0150971_11081	fig|155862.1.peg.1149	fig|155862.3.peg.17	fig|155862.4.peg.731	fig|155862.5.peg.407	fig|155862.2.peg.1092
all_I_2.0_c_0.4_m_maxbit	493	hioredoxin 1_ga0150971_107334	fig|155862.1.peg.796	NONE	NONE	fig|155862.5.peg.797	fig|155862.2.peg.937
all_I_2.0_c_0.4_m_maxbit	1351	tetratricopeptide repeat-containing protein_ga0150974_10651	NONE	NONE	fig|155862.4.peg.153	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	736	 phosphoribosylaminoimidazole-succinocarboxamide synthase_ga0150971_104057	fig|155862.1.peg.486	NONE	NONE	fig|155862.5.peg.367	fig|155862.2.peg.775
all_I_2.0_c_0.4_m_maxbit	183	glycosyltransferase involved in cell wall bisynthesis_ga0150974_11701	NONE	fig|155862.3.peg.68	fig|155862.4.peg.295	fig|155862.5.peg.300	fig|155862.2.peg.647
all_I_2.0_c_0.4_m_maxbit	1658	cbs domain-containing protein_ga0150972_11291	NONE	NONE	NONE	NONE	fig|155862.2.peg.415
all_I_2.0_c_0.4_m_maxbit	1025	enzyme f420 hydrogenase subunit beta_ga0150974_10037	fig|155862.1.peg.984	NONE	fig|155862.4.peg.7	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1492	methyltransferase domain-containing protein_ga0150971_10033	fig|155862.1.peg.16	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	881	nad+ kinase_ga0150971_109322	fig|155862.1.peg.986	NONE	fig|155862.4.peg.8	NONE	fig|155862.2.peg.322
all_I_2.0_c_0.4_m_maxbit	260	5-methylthioadenosine/s-adenosylhomocysteine deaminase_ga0150971_10362	fig|155862.1.peg.360	NONE	fig|155862.4.peg.167	fig|155862.5.peg.38	fig|155862.2.peg.130
all_I_2.0_c_0.4_m_maxbit	1739	hypothetical protein_ga0150972_114343	NONE	NONE	NONE	NONE	fig|155862.2.peg.524
all_I_2.0_c_0.4_m_maxbit	1182	 adenosylmethionine decarboxylase proenzyme_ga0150971_107414	fig|155862.1.peg.810	NONE	NONE	NONE	fig|155862.2.peg.1157
all_I_2.0_c_0.4_m_maxbit	571	protein of unknown function (duf890)_ga0150973_104961	fig|155862.1.peg.1304	fig|155862.3.peg.48	NONE	NONE	fig|155862.2.peg.857
all_I_2.0_c_0.4_m_maxbit	974	hypothetical protein_ga0150971_11136	fig|155862.1.peg.1178	NONE	fig|155862.4.peg.139	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	405	 beta-ribofuranosylaminobenzene 5'-phosphate synthase_ga0150974_120917	fig|155862.1.peg.10	NONE	fig|155862.4.peg.350	NONE	fig|155862.2.peg.552
all_I_2.0_c_0.4_m_maxbit	1263	hemotaxis protein chec_ga0150975_18852	NONE	NONE	NONE	fig|155862.5.peg.827;fig|155862.5.peg.698	NONE
all_I_2.0_c_0.4_m_maxbit	648	 fo synthase subunit 1_ga0150972_11493	fig|155862.1.peg.344	NONE	NONE	fig|155862.5.peg.229	fig|155862.2.peg.585
all_I_2.0_c_0.4_m_maxbit	95	large subunit ribosomal protein l10_ga0150974_12482	fig|155862.1.peg.907	NONE	fig|155862.4.peg.453;fig|155862.4.peg.451	fig|155862.5.peg.394	fig|155862.2.peg.377
all_I_2.0_c_0.4_m_maxbit	482	methanogen homocitrate synthase_ga0150971_112136	fig|155862.1.peg.1254	NONE	fig|155862.4.peg.606	NONE	fig|155862.2.peg.437
all_I_2.0_c_0.4_m_maxbit	1404	recf/recn/smc n terminal domain-containing protein_ga0150975_101337	NONE	NONE	NONE	fig|155862.5.peg.49	NONE
all_I_2.0_c_0.4_m_maxbit	793	 small nuclear ribonucleoprotein, lsm family_ga0150971_105713	fig|155862.1.peg.664	NONE	NONE	fig|155862.5.peg.684;fig|155862.5.peg.574	NONE
all_I_2.0_c_0.4_m_maxbit	172	 o-phospho-l-seryl-trna(sec) selenium transferase_ga0150975_101334	fig|155862.1.peg.1200	NONE	fig|155862.4.peg.557	fig|155862.5.peg.46	fig|155862.2.peg.139
all_I_2.0_c_0.4_m_maxbit	1651	hypothetical protein_ga0150971_10601	fig|155862.1.peg.689	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1030	s-layer protein, mj0822 family_ga0150971_10732	fig|155862.1.peg.764;fig|155862.1.peg.436	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1485	initiation factor eif2 gamma, c terminal_ga0150971_104033	fig|155862.1.peg.462	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	886	hypothetical protein_ga0150974_16125	fig|155862.1.peg.998	NONE	fig|155862.4.peg.896	NONE	fig|155862.2.peg.318
all_I_2.0_c_0.4_m_maxbit	317	 methyltransferase_ga0150971_10481	fig|155862.1.peg.541	NONE	fig|155862.4.peg.546	fig|155862.5.peg.611	fig|155862.2.peg.670
all_I_2.0_c_0.4_m_maxbit	1728	ein of unknown function (duf367)_ga0150974_130912	NONE	NONE	fig|155862.4.peg.548	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1175	 undecaprenyl pyrophosphate synthetase_ga0150971_10744	fig|155862.1.peg.800	NONE	NONE	NONE	fig|155862.2.peg.208
all_I_2.0_c_0.4_m_maxbit	560	uncharacterized conserved protein_ga0150974_16389	NONE	NONE	fig|155862.4.peg.908	fig|155862.5.peg.226	fig|155862.2.peg.658
all_I_2.0_c_0.4_m_maxbit	967	uncharacterized conserved protein, duf169 family_ga0150972_116660	fig|155862.1.peg.1167	NONE	NONE	NONE	fig|155862.2.peg.714
all_I_2.0_c_0.4_m_maxbit	394	 alanyl-trna synthetase_ga0150972_115935	fig|155862.1.peg.988	fig|155862.3.peg.173	NONE	fig|155862.5.peg.541	fig|155862.2.peg.632
all_I_2.0_c_0.4_m_maxbit	1252	hypothetical protein_ga0150974_12744	NONE	NONE	fig|155862.4.peg.483	fig|155862.5.peg.69	NONE
all_I_2.0_c_0.4_m_maxbit	641	ein of unknown function duf22_ga0150975_163127	fig|155862.1.peg.181	NONE	fig|155862.4.peg.744	fig|155862.5.peg.538	NONE
all_I_2.0_c_0.4_m_maxbit	84	hypothetical protein_ga0150972_109512	fig|155862.1.peg.559;fig|155862.1.peg.558	NONE	fig|155862.4.peg.799;fig|155862.4.peg.798	NONE	fig|155862.2.peg.320
all_I_2.0_c_0.4_m_maxbit	1563	 dtdp-4-dehydrorhamnose reductase_ga0150972_11433	NONE	NONE	NONE	NONE	fig|155862.2.peg.485
all_I_2.0_c_0.4_m_maxbit	1397	 transcriptional regulator, arsr family_ga0150971_111622	fig|155862.1.peg.1208	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	798	 dihydroxyacid dehydratase_ga0150972_113716	fig|155862.1.peg.674	NONE	fig|155862.4.peg.307	NONE	fig|155862.2.peg.463
all_I_2.0_c_0.4_m_maxbit	165	 glucose-6-phosphate isomerase_ga0150971_11141	fig|155862.1.peg.1183	NONE	fig|155862.4.peg.835	fig|155862.5.peg.228	fig|155862.2.peg.584
all_I_2.0_c_0.4_m_maxbit	1640	hypothetical protein_ga0150975_16283	NONE	NONE	NONE	fig|155862.5.peg.512	NONE
all_I_2.0_c_0.4_m_maxbit	1087	 ssu ribosomal protein s6p modification protein_ga0150972_102696	fig|155862.1.peg.458	NONE	NONE	NONE	fig|155862.2.peg.100
all_I_2.0_c_0.4_m_maxbit	1474	hypothetical protein_ga0150971_11361	fig|155862.1.peg.1393	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	879	 amino acid/amide abc transporter membrane protein 2, haat family_ga0150971_10938	fig|155862.1.peg.972	NONE	fig|155862.4.peg.229	NONE	fig|155862.2.peg.784
all_I_2.0_c_0.4_m_maxbit	306	 methylenetetrahydromethanopterin reductase_ga0150975_155711	fig|155862.1.peg.47	NONE	fig|155862.4.peg.470	fig|155862.5.peg.469	fig|155862.2.peg.260
all_I_2.0_c_0.4_m_maxbit	1785	hypothetical protein_ga0150974_122628	NONE	NONE	fig|155862.4.peg.403	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1164	 sodium/proton antiporter, cpa1 family_ga0150972_115913	fig|155862.1.peg.700	NONE	NONE	NONE	fig|155862.2.peg.610
all_I_2.0_c_0.4_m_maxbit	553	glycosyltransferase involved in cell wall bisynthesis_ga0150974_132223	NONE	NONE	fig|155862.4.peg.602;fig|155862.4.peg.599	NONE	fig|155862.2.peg.527
all_I_2.0_c_0.4_m_maxbit	1020	hypothetical protein_ga0150974_16122	fig|155862.1.peg.1347	NONE	fig|155862.4.peg.893	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	387	rna pseudouridine synthase 10_ga0150975_163116	fig|155862.1.peg.96	NONE	fig|155862.4.peg.101	fig|155862.5.peg.527	fig|155862.2.peg.469
all_I_2.0_c_0.4_m_maxbit	1309	hypothetical protein_ga0150971_10954	fig|155862.1.peg.1051	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	646	hypothetical protein_ga0150971_10012	fig|155862.1.peg.2	NONE	fig|155862.4.peg.327	NONE	fig|155862.2.peg.165
all_I_2.0_c_0.4_m_maxbit	77	ative methanogenesis marker protein 5_ga0150975_18811	fig|155862.1.peg.422	NONE	NONE	fig|155862.5.peg.799;fig|155862.5.peg.209;fig|155862.5.peg.199	fig|155862.2.peg.833
all_I_2.0_c_0.4_m_maxbit	1552	hypothetical protein_ga0150971_10378	fig|155862.1.peg.368	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1386	 uroporphyrinogen-iii c-methyltransferase_ga0150971_107422	fig|155862.1.peg.818	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	791	 ssu ribosomal protein s28e_ga0150971_105711	fig|155862.1.peg.662	NONE	NONE	fig|155862.5.peg.682;fig|155862.5.peg.576	NONE
all_I_2.0_c_0.4_m_maxbit	218	uncharacterized protein, upf0333 family_ga0150973_109642	fig|155862.1.peg.1409	fig|155862.3.peg.102	fig|155862.4.peg.495	fig|155862.5.peg.344	NONE
all_I_2.0_c_0.4_m_maxbit	1633	ype i restriction enzyme, r subuni_ga0150971_10055	fig|155862.1.peg.65	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1076	 transketolase subunit a_ga0150972_102927	fig|155862.1.peg.296	NONE	NONE	NONE	fig|155862.2.peg.152
all_I_2.0_c_0.4_m_maxbit	1531	hypothetical protein_ga0150971_102518	fig|155862.1.peg.284	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	868	hypothetical protein_ga0150971_109221	fig|155862.1.peg.944	NONE	fig|155862.4.peg.875	NONE	fig|155862.2.peg.940
all_I_2.0_c_0.4_m_maxbit	299	 archease family protein_ga0150975_15066	fig|155862.1.peg.446	NONE	fig|155862.4.peg.864	fig|155862.5.peg.444	fig|155862.2.peg.272
all_I_2.0_c_0.4_m_maxbit	1790	hypothetical protein_ga0150975_134012	NONE	NONE	NONE	fig|155862.5.peg.302	NONE
all_I_2.0_c_0.4_m_maxbit	1157	hypothetical protein_ga0150972_102613	fig|155862.1.peg.635	NONE	NONE	NONE	fig|155862.2.peg.19
all_I_2.0_c_0.4_m_maxbit	558	hypothetical protein_ga0150971_112416	fig|155862.1.peg.1294	NONE	NONE	fig|155862.5.peg.414	fig|155862.2.peg.792
all_I_2.0_c_0.4_m_maxbit	1013	adenylate kinase_ga0150971_11264	fig|155862.1.peg.1316	NONE	NONE	NONE	fig|155862.2.peg.121
all_I_2.0_c_0.4_m_maxbit	440	udp-n-acetyl-d-mannosaminuronic acid dehydrogenase_ga0150974_12352	fig|155862.1.peg.1075	NONE	fig|155862.4.peg.439	NONE	fig|155862.2.peg.609
all_I_2.0_c_0.4_m_maxbit	1298	arallel beta-helix repeat (two copies)_ga0150974_12962	NONE	NONE	fig|155862.4.peg.528	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	703	hth domain-containing protein_ga0150971_103416	fig|155862.1.peg.343	NONE	NONE	fig|155862.5.peg.221	fig|155862.2.peg.470
all_I_2.0_c_0.4_m_maxbit	66	 tyrosyl-trna synthetase_ga0150972_11295	fig|155862.1.peg.243	NONE	fig|155862.4.peg.567	fig|155862.5.peg.711;fig|155862.5.peg.90	fig|155862.2.peg.419
all_I_2.0_c_0.4_m_maxbit	1545	protein of unknown function duf70_ga0150972_127311	NONE	NONE	NONE	NONE	fig|155862.2.peg.1174
all_I_2.0_c_0.4_m_maxbit	1379	winged helix-turn-helix domain (duf2582)_ga0150971_11125	fig|155862.1.peg.1157	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	780	hydrogenase expression/formation protein_ga0150974_12099	fig|155862.1.peg.923	NONE	fig|155862.4.peg.344	NONE	fig|155862.2.peg.840
all_I_2.0_c_0.4_m_maxbit	211	 farnesyl-diphosphate synthase /geranylgeranyl-diphosphate synthase_ga0150975_105216	fig|155862.1.peg.1398	NONE	fig|155862.4.peg.288	fig|155862.5.peg.78	fig|155862.2.peg.972
all_I_2.0_c_0.4_m_maxbit	1638	protein of unknown function (duf3800)_ga0150971_10056	fig|155862.1.peg.66	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1069	eflagellin peptidase flak_ga0150971_10259	fig|155862.1.peg.275	NONE	NONE	NONE	fig|155862.2.peg.117
all_I_2.0_c_0.4_m_maxbit	1520	hypothetical protein_ga0150971_10234	fig|155862.1.peg.237	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	925	ctp deaminase (dump-forming)_ga0150975_18855	fig|155862.1.peg.1036	NONE	NONE	fig|155862.5.peg.830	NONE
all_I_2.0_c_0.4_m_maxbit	288	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase_ga0150974_14887	fig|155862.1.peg.395	NONE	fig|155862.4.peg.767	fig|155862.5.peg.785	fig|155862.2.peg.489
all_I_2.0_c_0.4_m_maxbit	1783	hypothetical protein_ga0150974_120920	NONE	NONE	fig|155862.4.peg.353	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1210	hypothetical protein_ga0150973_118435	NONE	fig|155862.3.peg.192;fig|155862.3.peg.188	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	551	 ssu ribosomal protein s4e_ga0150972_102644	fig|155862.1.peg.128	NONE	fig|155862.4.peg.651	NONE	fig|155862.2.peg.50
all_I_2.0_c_0.4_m_maxbit	1002	glycosyltransferase involved in cell wall bisynthesis_ga0150971_11248	fig|155862.1.peg.1286	NONE	fig|155862.4.peg.810	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	433	fructose-6-phosphate aldolase, talc/mipb family_ga0150975_11643	fig|155862.1.peg.1041	NONE	NONE	fig|155862.5.peg.142	fig|155862.2.peg.722
all_I_2.0_c_0.4_m_maxbit	1291	arallel beta-helix repeat (two copies)_ga0150971_109372	fig|155862.1.peg.1033	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	692	alpha-l-glutamate ligase, rimk family_ga0150972_114831	fig|155862.1.peg.465	NONE	NONE	fig|155862.5.peg.29	fig|155862.2.peg.574
all_I_2.0_c_0.4_m_maxbit	123	gtp cyclohydrolase iia_ga0150972_102683	fig|155862.1.peg.1023	fig|155862.3.peg.89	NONE	fig|155862.5.peg.136	fig|155862.2.peg.87
all_I_2.0_c_0.4_m_maxbit	1550	hypothetical protein_ga0150971_10352	fig|155862.1.peg.355	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1432	hypothetical protein_ga0150971_112421	fig|155862.1.peg.1299	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	773	hypothetical protein_ga0150974_136530	fig|155862.1.peg.901	NONE	fig|155862.4.peg.664	NONE	fig|155862.2.peg.62
all_I_2.0_c_0.4_m_maxbit	200	membrane protein implicated in regulation of membrane protease activity_ga0150974_107738	fig|155862.1.peg.1339	NONE	fig|155862.4.peg.194	fig|155862.5.peg.333	fig|155862.2.peg.292
all_I_2.0_c_0.4_m_maxbit	1695	hypothetical protein_ga0150975_15898	NONE	NONE	NONE	fig|155862.5.peg.480	NONE
all_I_2.0_c_0.4_m_maxbit	1058	 translation factor sua5_ga0150974_12217	fig|155862.1.peg.235	NONE	fig|155862.4.peg.374	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1513	hypothetical protein_ga0150974_135010	NONE	NONE	fig|155862.4.peg.620	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	914	hypothetical protein_ga0150972_123813	fig|155862.1.peg.1012	NONE	NONE	NONE	fig|155862.2.peg.941
all_I_2.0_c_0.4_m_maxbit	345	pyruvate kinase, alpha/beta domain_ga0150975_16314	fig|155862.1.peg.713	NONE	fig|155862.4.peg.673	fig|155862.5.peg.515	fig|155862.2.peg.63
all_I_2.0_c_0.4_m_maxbit	1772	sugar o-acyltransferase, sialic acid o-acetyltransferase neud family_ga0150973_105324	NONE	fig|155862.3.peg.58	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1203	 homoserine dehydrogenase_ga0150971_109219	fig|155862.1.peg.942	NONE	NONE	NONE	fig|155862.2.peg.23
all_I_2.0_c_0.4_m_maxbit	604	balt/nickel transport system permease protein_ga0150971_113113	fig|155862.1.peg.1365	NONE	fig|155862.4.peg.384	NONE	fig|155862.2.peg.875
all_I_2.0_c_0.4_m_maxbit	995	 condensin subunit sm_ga0150971_11221	fig|155862.1.peg.1256	NONE	fig|155862.4.peg.851	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	438	arbamoyl-phosphate synthase, small subuni_ga0150972_12492	fig|155862.1.peg.1259	NONE	fig|155862.4.peg.512	NONE	fig|155862.2.peg.1085
all_I_2.0_c_0.4_m_maxbit	1280	starch phosphorylase_ga0150971_109351	fig|155862.1.peg.1014	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	685	hypothetical protein_ga0150971_102524	fig|155862.1.peg.290	NONE	fig|155862.4.peg.18	NONE	fig|155862.2.peg.1147
